Species_name
Corynephorus canescens
Cotinus coggygria
Cotoneaster
Cotoneaster coriaceus
Cotoneaster glaucophyllus
Cotula australis
Cotula coronopifolia
Crassula helmsii
Crassula multicava
Crassula ovata
Crassula tillaea
Crataegus
Crataegus germanica
Crataegus monogyna
Crepidinae
Crepis
Crepis albida
Crepis albida asturica
Crepis bursifolia
Crepis capillaris
Crepis foetida
Crepis lampsanoides
Crepis mollis
Crepis paludosa
Crepis pygmaea
Crepis pyrenaica
Crepis tectorum
Crepis vesicaria
Crepis vesicaria taraxacifolia
Crithmum maritimum
Crocosmia
Crocosmia × crocosmiiflora
Crocus
Crocus carpetanus
Crocus nudiflorus
Crocus serotinus
Crocus vernus
Crucianella angustifolia
Crucianella maritima
Cruciata
Cruciata glabra
Cruciata glabra glabra
Cruciata laevipes
Cryptogramma crispa
Cucurbita ficifolia
Cucurbita maxima
Cucurbita pepo
Cucurbitaceae
Culcita macrocarpa
Cuphea hyssopifolia
Cupressaceae
Cupressoideae
Cuscuta
Cuscuta epithymum
Cuscuta europaea
Cyanus
Cydonia oblonga
Cymbalaria muralis
Cymbalaria muralis muralis
Cynodon dactylon
Cynoglossum amabile
Cynoglossum officinale
Cynosurus cristatus
Cynosurus echinatus
Cyperoideae
Cyperus
Cyperus alternifolius
Cyperus alternifolius flabelliformis
Cyperus eragrostis
Cyperus esculentus
Cyperus longus
Cyperus rotundus
Cyrtanthus elatus
Cyrtomium falcatum
Cystopteris
Cystopteris diaphana
Cystopteris fragilis
Cystopteris viridula
Cytinus hypocistis
Cytisus
Cytisus cantabricus
Cytisus decumbens
Cytisus multiflorus
Cytisus oromediterraneus
Cytisus scoparius
Cytisus striatus
Будра плющевидная
Daboecia cantabrica
Dactylis glomerata
Dactylorhiza
Dactylorhiza × kerneriorum
Dactylorhiza × stagni-novi
Dactylorhiza cantabrica
Dactylorhiza elata
Dactylorhiza fuchsii
Dactylorhiza incarnata
Dactylorhiza insularis
Dactylorhiza maculata
Dactylorhiza romana guimaraesii
Dactylorhiza sambucina
Dactylorhiza viridis
Danthonia
Danthonia decumbens
Daphne gnidium
Daphne laureola
Dasiphora fruticosa
Datura stramonium
Daucinae
Daucus
Daucus carota
Daucus carota carota
Daucus carota gummifer
Davallia canariensis
Delairea
Delairea odorata
Delphinium ajacis
Deutzia
Deutzia scabra
Dianthus
Dianthus armeria
Dianthus carthusianorum
Dianthus deltoides
Dianthus hyssopifolius
Dianthus hyssopifolius gallicus
Dianthus hyssopifolius hyssopifolius
Dianthus langeanus
Dianthus monspessulanus
Dianthus plumarius
Dianthus pungens
Dianthus superbus
Dichondra micrantha
Digitalis
Digitalis parviflora
Digitalis purpurea
Digitaria
Digitaria sanguinalis
Dimorphotheca
Dimorphotheca ecklonis
Dimorphotheca jucunda
Dioscorea
Dioscorea communis
Diospyros
Diospyros lotus
Diplotaxis muralis
Diplotaxis tenuifolia
Dipsacoideae
Dipsacus fullonum
Dittrichia
Dittrichia viscosa
Dittrichia viscosa viscosa
Doronicum
Doronicum austriacum
Doronicum carpetanum
Doronicum carpetanum pubescens
Doronicum pardalianches
Doronicum plantagineum
Draba cantabriae
Draba dedeana
Draba verna
Drosera
Drosera × eloisiana
Drosera × obovata
Drosera anglica
Drosera intermedia
Drosera rotundifolia
Dryopteridaceae
Dryopteridoideae
Dryopteris
Dryopteris aemula
Dryopteris affinis
Dryopteris carthusiana
Dryopteris corleyi
Dryopteris dilatata
Dryopteris filix-mas
Dryopteris guanchica
Dryopteris mindshelkensis
Dryopteris oreades
Dryopteris wallichiana
Dysphania ambrosioides
Echinacea
Echinochloa crus-galli
Echium
Echium creticum
Echium pininana
Echium plantagineum
Echium rosulatum
Echium vulgare
Echium vulgare asturicum
Echium vulgare vulgare
Elaeagnus angustifolia
Elaeagnus reflexa
Elatine triandra
Eleocharis multicaulis
Eleocharis palustris
Eleocharis quinqueflora
Eleusine indica
Elymus
Elymus athericus
Elymus farctus
Elymus pungens
Elymus repens
Epilobium
Epilobium anagallidifolium
Epilobium ciliatum
Epilobium hirsutum
Epilobium minutum
Epilobium montanum
Epilobium obscurum
Epilobium parviflorum
Epilobium roseum
Epilobium tetragonum
Epipactis
Epipactis atrorubens
Epipactis helleborine
Epipactis palustris
Equisetum
Equisetum × moorei
Equisetum arvense
Equisetum fluviatile
Equisetum hyemale
Equisetum palustre
Equisetum ramosissimum
Equisetum telmateia
Equisetum telmateia telmateia
Equisetum variegatum
Erica
Erica arborea
Erica australis
Erica australis aragonensis
Erica ciliaris
Erica cinerea
Erica mackayana
Erica tetralix
Erica umbellata
Erica vagans
Ericaceae
Ericeae
Ericoideae
Erigeron
Erigeron acris
Erigeron alpinus
Erigeron annuus
Erigeron bonariensis
Erigeron canadensis
Erigeron floribundus
Erigeron karvinskianus
Erigeron sumatrensis
Erigeron uniflorus
Erinacoides
Erinus
Erinus alpinus
Eriobotrya
Eriobotrya japonica
Eriocapitella
Eriocapitella × hybrida
Eriocapitella hupehensis
Eriocapitella japonica
Eriophorum
Eriophorum angustifolium
Eriophorum latifolium
Eriophorum vaginatum
Erodium
Erodium cicutarium
Erodium glandulosum
Erodium malacoides
Erodium moschatum
Eruca vesicaria
Erucastrum nasturtiifolium
Eryngium
Eryngium bourgatii
Eryngium duriaei
Eryngium maritimum
Erysimum
Erysimum duriaei
Erysimum duriaei pyrenaicum
Erysimum linifolium
Erysimum rhaeticum
Erythronium dens-canis
Escallonia
Escallonia rubra
Eschscholzia californica
Esula
Eucalyptus
Eucalyptus globulus
Eucalyptus gunnii
Euonymus
Euonymus europaeus
Euonymus japonicus
Eupatoriinae
Eupatorium cannabinum
Euphorbia
Euphorbia amygdaloides
Euphorbia amygdaloides robbiae
Euphorbia characias
Euphorbia dulcis
Euphorbia esula
Euphorbia exigua
Euphorbia flavicoma
Euphorbia flavicoma occidentalis
Euphorbia glauca
Euphorbia helioscopia
Euphorbia hirsuta
Euphorbia hyberna
Euphorbia lathyris
Euphorbia maculata
Euphorbia oblongata
Euphorbia paralias
Euphorbia peplis
Euphorbia peplus
Euphorbia platyphyllos
Euphorbia polygonifolia
Euphorbia portlandica
Euphorbia prostrata
Euphorbia pyrenaica
Euphorbia segetalis
Euphorbia terracina
Euphorbia verrucosa
Euphorbiaceae
Euphrasia
Euphrasia alpina
Euphrasia hirtella
Euphrasia nemorosa
Euphrasia officinalis
Euphrasia salisburgensis
Euphrasia stricta
Eurybia sibirica
Euryops
Euryops chrysanthemoides
Euryops pectinatus
Fabaceae
Fabeae
Faboideae
Fagaceae
Fagales
Fagopyrum
Fagopyrum esculentum
Fagus sylvatica
Fallopia aubertii
Fallopia baldschuanica
Fatsia japonica
Feijoa sellowiana
Festuca
Festuca alopecuros
Festuca bromoides
Festuca fasciculata
Festuca flavescens
Festuca glacialis
Festuca heterophylla
Festuca hystrix
Festuca muralis
Festuca myuros
Festuca occidentalis
Festuca ovina
Festuca picoeuropeana
Festuca rubra
Festuca rubra pruinosa
Festuca summilusitana
Ficaria verna
Ficus carica
Filipendula ulmaria
Filipendula vulgaris
Foeniculum vulgare
Fragaria
Fragaria vesca
Frangula alnus
Frankenia
Frankenia laevis
Fraxinus
Fraxinus angustifolia
Fraxinus excelsior
Freesia × kewensis
Freesia leichtlinii
Freesia leichtlinii alba
Fritillaria legionensis
Fritillaria pyrenaica
Fuchsia
Fuchsia magellanica
Fuchsia regia
Fumaria
Fumaria bastardii
Fumaria capreolata
Fumaria muralis
Fumaria officinalis
Gagea
Gagea bohemica
Gagea bulbifera
Gagea fragifera
Gagea lutea
Gagea soleirolii
Galactites
Galactites tomentosus
Galatella linosyris
Galeatae
Galeopsis
Galeopsis tetrahit
Galinsoga
Galinsoga parviflora
Galinsoga quadriradiata
Galium
Galium album
Galium aparine
Galium lucidum
Galium mollugo
Galium murale
Galium odoratum
Galium palustre
Galium parisiense
Galium pyrenaicum
Galium rotundifolium
