"Species_name","cleaned_name","tnrs_original_name","tnrs_matched_name","tnrs_accepted_name","tnrs_accepted_author","tnrs_family","tnrs_powo_uri","tnrs_taxonomic_status","tnrs_overall_score","tnrs_match_type"
"Meidcago sativa","Meidcago sativa","Meidcago sativa","Medicago sativa","Medicago sativa","L.","Fabaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30234961-2","Accepted",0.97922049354994,"accepted_or_direct"
"Melanpyrum pratense","Melanpyrum pratense","Melanpyrum pratense","Melampyrum pratense","Melampyrum pratense","L.","Orobanchaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:805713-1","Accepted",0.98428510306992,"accepted_or_direct"
"Melica uniflora","Melica uniflora","Melica uniflora","Melica uniflora","Melica uniflora","Retz.","Poaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:408184-1","Accepted",1,"accepted_or_direct"
"Melilotus albus","Melilotus albus","Melilotus albus","Melilotus albus","Melilotus albus","Medik.","Fabaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:156656-2","Accepted",1,"accepted_or_direct"
"Menta acuática","Menta acuática","Menta acuática",NA,NA,NA,NA,NA,NA,NA,"unresolved_no_match"
"Menta suaveolens","Menta suaveolens","Menta suaveolens","Mentha suaveolens","Mentha suaveolens","Ehrh.","Lamiaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:451188-1","Accepted",0.9694502693699,"accepted_or_direct"
"Mentha aquatica","Mentha aquatica","Mentha aquatica","Mentha aquatica","Mentha aquatica","L.","Lamiaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:450192-1","Accepted",1,"accepted_or_direct"
"Mentha longifolia","Mentha longifolia","Mentha longifolia","Mentha longifolia","Mentha longifolia","(L.) L.","Lamiaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:450735-1","Accepted",1,"accepted_or_direct"
"Mentha pulchium","Mentha pulchium","Mentha pulchium","Mentha pulegium","Mentha pulegium","L.","Lamiaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:451022-1","Accepted",0.94341268848788,"accepted_or_direct"
"Mentha suaveolens","Mentha suaveolens","Mentha suaveolens","Mentha suaveolens","Mentha suaveolens","Ehrh.","Lamiaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:451188-1","Accepted",1,"accepted_or_direct"
"Mercurialis perennis","Mercurialis perennis","Mercurialis perennis","Mercurialis perennis","Mercurialis perennis","L.","Euphorbiaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:352211-1","Accepted",1,"accepted_or_direct"
"Merendera montana","Merendera montana","Merendera montana","Merendera montana","Colchicum montanum","L.","Colchicaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:538282-1","Synonym",1,"synonym_to_accepted"
"Meum athamanticum","Meum athamanticum","Meum athamanticum","Meum athamanticum","Meum athamanticum","Jacq.","Apiaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:844931-1","Accepted",1,"accepted_or_direct"
"Minuartia verna","Minuartia verna","Minuartia verna","Minuartia verna","Sabulina verna","(L.) Rchb.","Caryophyllaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:155687-1","Synonym",1,"synonym_to_accepted"
"Miosotis martini","Miosotis martini","Miosotis martini","Myosotis martini","Myosotis martini","Sennen","Boraginaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:119113-1","Accepted",0.97922049354994,"accepted_or_direct"
"Mirabilis jalapa","Mirabilis jalapa","Mirabilis jalapa","Mirabilis jalapa","Mirabilis jalapa","L.","Nyctaginaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:162591-2","Accepted",1,"accepted_or_direct"
"Molinia caerulea","Molinia caerulea","Molinia caerulea","Molinia caerulea","Molinia caerulea","(L.) Moench","Poaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:98382-3","Accepted",1,"accepted_or_direct"
"Myrrhis odorata","Myrrhis odorata","Myrrhis odorata","Myrrhis odorata","Myrrhis odorata","(L.) Scop.","Apiaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:845120-1","Accepted",1,"accepted_or_direct"
"Na officinalis","Na officinalis","Na officinalis","[No match found]","","","","","",NA,"unresolved_no_match"
"Narcissus turgidus","Narcissus turgidus","Narcissus turgidus","Narcissus turgidus","Narcissus bulbocodium","L.","Amaryllidaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:66266-1","Illegitimate",1,"fuzzy_auto"
"Nardus stricta","Nardus stricta","Nardus stricta","Nardus stricta","Nardus stricta","L.","Poaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:409307-1","Accepted",1,"accepted_or_direct"
