Taxón
Astragalus depressus L., Cent. Pl. II: 29 (1756)
Astragalus glycyphyllos L., Sp. Pl.: 758 (1753)
Astragalus monspessulanus L., Sp. Pl.: 761 (1753)
Astragalus sempervirens Lam., Encycl. 1: 320 (1783)
Astrantia major L., Sp. Pl.: 235 (1753)
Athyrium alpestre (Hoppe) Clairv., Man. Herbor. Suisse: 301 (1811)
Athyrium filix-femina (L.) Roth, Tent. Fl. Germ. 3(1): 65 (1799)
Atocion rupestre (L.) Oxelman, Nordic J. Bot. 20(5): 517 (2001)
Atriplex patula L., Sp. Pl.: 1053 (1753)
Atriplex prostrata Boucher ex DC., in Lam. & DC., Fl. Franç., ed. 3, 3: 387 (1805)
Atropa belladonna L., Sp. Pl.: 181 (1753)
Aucuba japonica Thunb., Nova Gen. Pl. 3: 62 (1783)
Austrocylindropuntia subulata (Muehlenpf.) Backeb., Die Cactaceae: 12 (1942)
Avena barbata Pott ex Link, J. Bot. (Schrader) 2: 315 (1799)
Avena fatua L., Sp. Pl.: 80 (1753)
Avena sativa L., Sp. Pl.: 79 (1753)
Avena sativa L. subsp. orientalis (Schreb.) Jess., Deutschl. Gräser: 212 (1863)
Avena sterilis L., Sp. Pl., ed. 2: 118 (1762)
Avenella flexuosa (L.) Drejer, Fl. Excurs. Hafn.: 32 (1838) subsp. flexuosa
Avenella flexuosa (L.) Drejer subsp. iberica (Rivas Mart.) García-Suárez, Fern.-Carv. & Fern.Prieto, Bot. L. Linn. Soc. 124: 317 (1997)
Avenula pubescens (Huds.) Dumort., Bull. Soc. Roy. Bot. Belgique 7(1): 68 (1868)
Azolla filiculoides Lam., Encycl. 1: 343 (1783)
Baccharis halimifolia L., Sp. Pl.: 860 (1753)
Baldellia alpestris (Coss.) M.Laínz, Bol. Inst. Estud. Asturianos, Supl. Ci., 1: 35 (1960)
Baldellia ranunculoides (L.) Parl., Nuovi Gen. Sp. Monocot.: 58 (1854)
Ballota nigra L. subsp. foetida (Lam.) Hayek, Prodr. Fl. Penins. Balcan.: 2 (1929)
Barbarea intermedia Boreau, Fl. Centre France 2: 48 (1840)
Barbarea vulgaris W.T.Aiton, Hort. Kew., ed. 2, 4: 109 (1812)
Bartsia alpina L., Sp. Pl.: 602 (1753)
Bellardia trixago (L.) All., Fl. Pedem. 1: 61 (1785)
Bellardiochloa variegata (Lam.) Kerguélen, Lejeunia 110: 56 (1983)
